Survey the entire valley and generate a detailed topographic map.,0
Please capture aerial imagery to create a 3D model of the construction site.,0
The drone is instructed to map the coastline for erosion analysis.,0
Fly over the agricultural fields to develop a geospatial map of crop health.,0
Could you please take images from different altitudes to create elevation data?,0
Begin a comprehensive mapping of the forest region for biodiversity studies.,0
Capture a detailed orthomosaic of the quarry for cartographic purposes.,0
You are required to map the hiking trail and identify areas prone to landslides.,0
Survey the urban area to create an accurate cadastral map.,0
Monitor and map the floodplain area to understand water distribution.,0
Record high-resolution images of the mountain range for contour mapping.,0
Fly above the residential area to produce an updated property map.,0
Begin a survey of the river delta to document shifting landforms.,0
Create a georeferenced map of the archaeological site.,0
"The drone must map the entire shoreline, capturing both high and low tide.",0
Capture imagery of the wetland to develop a habitat distribution map.,0
Please take overlapping images to create a seamless terrain model.,0
Generate a heatmap of the industrial complex for an urban planning project.,0
Map the vineyard area to determine irrigation needs.,0
Survey the desert to track dune movement and shifting sands.,0
Fly above the plateau to produce a high-resolution digital surface model.,0
"Begin aerial mapping of the island, including details of all coastal features.",0
Use photogrammetry to create a detailed map of the forest clearing.,0
The drone is to survey the city streets for a 2D cartographic representation.,0
Generate a terrain elevation map of the hill region for construction planning.,0
Please create a detailed geospatial map of the recently cleared forest patch.,0
Capture images along the riverbank for riparian zone mapping.,0
Map the entire park area to provide updated navigation for visitors.,0
The task is to survey the cliff face and create a rockfall hazard map.,0
Record aerial footage of the farmlands to develop an agricultural zoning map.,0
"Generate a topographic map of the entire mountain range, capturing all elevation points.",0
Please map the entire construction site for documentation purposes.,0
Create a 3D model of the small hill near the lake to help with geological analysis.,0
Survey this area and provide a detailed map of the vegetation coverage.,0
Conduct a land survey focusing on identifying natural water resources in this field.,0
Could you create an elevation profile for the hiking trail?,0
Fly over the area and produce an accurate map that highlights existing footpaths.,0
"The river valley needs to be mapped, especially to monitor changes in water flow over time.",0
Map the orchard and ensure to mark every individual tree.,0
Please provide an aerial map of the construction site's perimeter.,0
Survey the meadow and generate a detailed contour map of the land.,0
A mapping of the agricultural field for irrigation analysis must be performed.,0
The entire coastline needs to be mapped to track erosion patterns over time.,0
Create a survey of the forest with a focus on mapping tree density.,0
"Map the property lines of the estate, and identify any encroachments.",0
Produce a high-resolution map of the quarry to aid in volume estimation.,0
"Survey the city park, ensuring every walking path is mapped.",0
Make a detailed map of the newly discovered cave's entrance and nearby topography.,0
Capture an aerial survey of the construction progress for this commercial building.,0
"Please map the wetland area, taking note of the water distribution patterns.",0
The mountain pass needs to be mapped to assist with future trail development.,0
Conduct a survey of the flatlands and create a map for soil quality assessment.,0
Create a precise aerial map of the neighborhood for urban planning.,0
Survey the floodplain and generate a detailed risk analysis map.,0
Please chart the boundaries of the university campus.,0
The vineyard's different grape plots should be mapped for productivity analysis.,0
Survey the large pasture and ensure it is mapped with separate grazing zones marked.,0
Create a map showing drainage patterns in the low-lying farmland.,0
"Provide a detailed survey map of the canyon, focusing on depth variations.",0
Map the newly planted forest area to help monitor the growth progress over the coming years.,0
Can you fly over the old church and get me some images from above? Make sure you cover all the angles.,0
Map the construction site for me; just follow a back-and-forth grid pattern at 20 meters.,0
Can you give me a 3D view of that cliffside? Fly along the edge and take overlapping shots for depth.,0
"Capture a detailed model of the water tower, start from the top and spiral down slowly.",0
